3      ,distance from river,<500,1      ,2      ,3      ,3      ,7      
,,500-1000 ,  1/2 ,1      ,2      ,3      ,5      
,,1001-1500 ,  1/3 ,  1/2 ,1      ,3      ,6      
,,1501-2000 ,  1/3 ,  1/3 ,  1/3 ,1      ,3      
,,>2000 ,  1/7 ,  1/5 ,  1/6 ,  1/3 ,1      
,,,,,,,
