6,TWI ,16.18-24.80 ,1,2,3,5,6
,,12.34-16.17 ,  1/2 ,1,2,3,5
,,9.52-12.33 ,  1/3 ,  1/2 ,1,3,6
,,7.47-9.51 ,  1/5 ,  1/3 ,  1/3 ,1,3
,,3.11-7.46 ,  1/6 ,  1/5 ,  1/6 ,  1/3 ,1
