5,FlowAccumulation,>50000 ,1,2,3,4,7
,,20001-50000,  1/2 ,1,2,4,6
,,10001-20000,  1/3 ,  1/2 ,1,2,3
,,4001-10000 ,  1/4 ,  1/4 ,  1/2 ,1,2
,,0-4000 ,  1/7 ,  1/6 ,  1/3 ,  1/2 ,1
